R/O F,Placing,Language,Songwriter(s),Number of Languages,Number of Songwriter(s),Year
9.0,7.0,English,Edmond ZhulaliAgim Doçi,1,2,2004
2.0,21.0,German,Peter Zimmermann,1,1,2004
13.0,22.0,English,Marc PaelinckDirk Paelinck,1,2,2004
12.0,9.0,English,Vesna Pisarović,1,1,2004
11.0,12.0,English,Ivan MikulićVedran OstojićDuško Gruborović,1,3,2004
21.0,5.0,English,Mike Connaris,1,1,2004
4.0,15.0,"French, Spanish","Ben ""Jammin"" RobbinsSteve BalsamoJonatan Cerrada",2,3,2004
8.0,8.0,"English, Turkish",Stefan Raab,2,1,2004
16.0,3.0,English,Nikos TerzisNektarios Tyrakis,1,2,2004
17.0,19.0,English,Sveinn Rúnar SigurðssonMagnús Þór Sigmundsson,1,2,2004
18.0,22.0,English,Brian McFaddenJonathan Shorten,1,3,2004
15.0,14.0,English,Jovan JovanovIlija Nikolovski,1,2,2004
6.0,12.0,English,Philip VellaGerard James Borg,1,2,2004
7.0,20.0,English,Ed van OtterdijkAngeline van Otterdijk,1,2,2004
3.0,24.0,English,Thomas ThörnholmLars AnderssonDan Attlerud,1,3,2004
19.0,17.0,"English, Spanish",Paweł Rurak-SokalTatiana Okupnik,2,2,2004
23.0,18.0,English,George PopaIrina Gligor,1,2,2004
14.0,11.0,English,Maxim FadeevBrenda Loring,1,2,2004
5.0,2.0,Serbian,Željko JoksimovićLeontina Vukomanović,1,2,2004
1.0,10.0,Spanish,Kike Santander,1,1,2004
24.0,5.0,English,"Thomas ""Orup"" Eriksson",1,1,2004
22.0,4.0,English,Gökhan ÖzoğuzHakan Özoğuz,1,2,2004
10.0,1.0,"English, Ukrainian",Ruslana LyzchickoOleksandr Ksenofontov,2,2,2004
20.0,16.0,English,Gary MillerTim Woodcock,1,2,2004
8.0,16.0,English,Adrian HilaPandi Laço,1,2,2005
21.0,14.0,English,Andrej Babić,1,1,2005
18.0,11.0,Croatian,Boris NovkovićFranjo Valentić,1,2,2005
9.0,18.0,English,Constantinos Christoforou,1,1,2005
13.0,9.0,English,Jacob LaunbjergAndreas Mørck,1,2,2005
24.0,23.0,French,Saad TabainetOrtal,1,2,2005
17.0,24.0,English,David BrandesJane TempestJohn O'Flynn,1,3,2005
19.0,1.0,English,Manos PsaltakisChristos DantisNatalia Germanou,1,3,2005
1.0,12.0,Hungarian,Szabolcs HarmathAttila Valla,1,2,2005
11.0,4.0,"Hebrew, English",Pini AharonbayevEyal ShaharBen Green,2,3,2005
23.0,5.0,English,Mārtiņš Freimanis,1,1,2005
15.0,17.0,English,Dragan VučićBranka Kostić,1,2,2005
3.0,2.0,English,Chiara Siracusa,1,1,2005
7.0,6.0,"English, Romanian",Mihai GîncuRoman Iagupov,2,2,2005
5.0,9.0,English,"Trond ""Teeny"" Holter",1,1,2005
4.0,3.0,English,Cristian Faur,1,1,2005
20.0,15.0,English,Viktor DrobyshMary Susan ApplegateJussi-Pekka Järvinen,1,3,2005
12.0,7.0,Montenegrin,Slaven KnezovićMilan Perić,1,2,2005
10.0,21.0,Spanish,Alfredo Panebianco,1,1,2005
14.0,19.0,English,Niklas EdbergerJohan FranssonTim LarssonTobias Lundgren,1,4,2005
22.0,8.0,English,David BrandesJane TempestJohn O'Flynn,1,3,2005
6.0,13.0,Turkish,Erdinç TunçGöksan Arman,1,2,2005
16.0,19.0,"Ukrainian, English[a][b][c][d][e][f]",Roman KalynRoman KostyukMikola Kulinich,2,3,2005
2.0,22.0,English,Javine HyltonJohn Themis,1,2,2005
24.0,8.0,English,Armen MartirosyanCatherine Bekian,1,2,2006
13.0,3.0,Bosnian,Željko JoksimovićFahrudin PecikozaDejan Ivanović,1,3,2006
20.0,12.0,Croatian,Boris NovkovićFranjo ValentićSeverina Vučković,1,3,2006
9.0,18.0,English,Niels Drevsholt,1,1,2006
17.0,1.0,English,Mr Lordi,1,1,2006
19.0,22.0,French,Cornelius Nyungura,1,1,2006
8.0,14.0,English,Jane Comerford,1,1,2006
16.0,9.0,English,Nikos KarvelasAnna Vissi,1,2,2006
21.0,10.0,English,Brian Kennedy,1,1,2006
3.0,23.0,"Hebrew, English",Eddie ButlerOsnat TzavagOrly Burg,2,3,2006
4.0,16.0,English,Reinis SējānsAndris SējānsMolly-Ann LeikinGuntars Račs,1,4,2006
14.0,6.0,English[a],Andrius MamontovasSaulius UrbonavičiusViktoras Diawara,1,3,2006
11.0,12.0,"English, Macedonian",Darko DimitrovRade Vrčakovski,2,2,2006
7.0,24.0,English,Aldo SpiteriFabrizio Faniello,1,2,2006
2.0,20.0,English[b],Arsenie Todiraș,1,1,2006
5.0,14.0,Norwegian,Kjetil FlugeAtle HalstensenChristine Guldbrandsen,1,3,2006
12.0,4.0,"English, Italian",Eduard CîrcotãCristian HriscuMihaela Deac,2,3,2006
10.0,2.0,English,Alexandr LunyovKaren KavaleryanIrina Antonyan,1,3,2006
6.0,21.0,Spanish,Manuel Ruiz Gómez,1,1,2006
22.0,5.0,English,Thomas G:sonBobby LjunggrenHenrik WikströmCarola Häggkvist,1,4,2006
1.0,16.0,English,Ralph SiegelBernd Meinunger,1,2,2006
23.0,11.0,Turkish[g],Sibel Tüzün,1,1,2006
18.0,7.0,English,Mikhail NekrasovTina KarolPavlo Shylko,1,3,2006
15.0,19.0,English,Daz SampsonJohn Matthews,1,2,2006
23.0,8.0,"English, Armenian",Hayk HakobyanKaren Kavaleryan,2,2,2007
3.0,6.0,English,Philipp KirkorovKaren Kavaleryan,1,2,2007
1.0,11.0,Serbian,Aleksandra MilutinovićGoran Kovačić,1,2,2007
21.0,5.0,Bulgarian,Elitsa TodorovaStoyan Yankoulov,1,2,2007
5.0,17.0,English,Martti VuorinenMiikka Huttunen,1,2,2007
13.0,22.0,"French, English (""Franglais"")",Ivan CallotLaurent HonelPaul LégerYves GiraudJean-Marc Sauvagnargues,2,5,2007
11.0,12.0,English,Beka JaparidzeBibi Kvachadze,1,2,2007
16.0,19.0,"German, English",Frank RamondMatthias Hass,2,2,2007
10.0,7.0,English[i],Alex PapaconstantinouMarcus EnglöfMack,1,3,2007
8.0,9.0,English,Magdolna RúzsaImre Mózsik,1,2,2007
4.0,24.0,English,John WatersTommy Moran,1,2,2007
14.0,16.0,Italian,Kjell JennstigTorbjörn WasseniusFrancesca Russo,1,3,2007
9.0,21.0,English,Julija Ritčik,1,1,2007
6.0,14.0,"Macedonian, English",Grigor KoprovOgnen Nedelkovski,2,2,2007
24.0,10.0,English,Alexandru BrașoveanuElena Buga,1,2,2007
20.0,13.0,"English, Italian, Spanish,Russian, French, Romanian",Bogdan TașcăuKamara GhediVlad Crețu,6,3,2007
15.0,3.0,English,Maxim FadeevDaniil Babichev,1,2,2007
17.0,1.0,Serbian,Vladimir GraićSaša Milošević Mare,1,2,2007
7.0,15.0,Slovene,Andrej Babić,1,1,2007
2.0,20.0,Spanish[h],Thomas G:sonAndreas RickstrandTony Sánchez-OhlssonRebeca Pous del Toro,1,4,2007
12.0,18.0,English,Ola Salo,1,1,2007
22.0,4.0,English,Kenan Doğulu,1,1,2007
18.0,2.0,"German, English, Ukrainian, Russian",Andriy Danylko,4,1,2007
19.0,22.0,English,Andrew HillMorten SchjolinRuss SpencerPaul Tarry,1,4,2007
3.0,17.0,Albanian,Adrian HilaPandi Laço,1,2,2008
5.0,4.0,"English, Armenian",H.A. Der-HovagimianSirusho,2,2,2008
20.0,8.0,English,Govhar HasanzadehZahra Badalbeyli,1,2,2008
6.0,10.0,Bosnian,Elvir Laković Laka,1,1,2008
9.0,21.0,Croatian,"Miran ""Hadži"" Veljković",1,1,2008
