Country,Song,Artist,F/SF,Year,Points,R/O,Place,Contest_Location,Jury_1.0,Jury_2.0,Jury_3.0,Jury_4.0,Jury_5.0,Jury_6.0,Jury_7.0,Jury_8.0,Jury_10.0,Jury_12.0
Belgium,Gelukkig Zijn,Ann Christy,Final,1975,17.0,11,15,Stockholm ,Israel,France,Netherlands,Spain,Yugoslavia,Italy,Malta,Switzerland,United Kingdom,Ireland
Finland,Old Man Fiddle,Pihasoittajat,Final,1975,74.0,15,7,Stockholm ,Ireland,Monaco,Israel,Switzerland,Luxembourg,Sweden,United Kingdom,Spain,Netherlands,Italy
France,Et Bonjour à Toi L'artiste,Nicole Rieu,Final,1975,91.0,3,4,Stockholm ,Israel,Portugal,Luxembourg,Italy,Netherlands,Ireland,Sweden,Malta,Switzerland,United Kingdom
Germany,Ein Lied Kann Eine Brücke Sein,Joy Fleming,Final,1975,15.0,4,17,Stockholm ,Israel,Yugoslavia,Monaco,Italy,Spain,Switzerland,Belgium,Netherlands,United Kingdom,Finland
Ireland,That's What Friends Are For,The Swarbriggs,Final,1975,68.0,2,9,Stockholm ,Israel,Switzerland,United Kingdom,Yugoslavia,Finland,Italy,Spain,Netherlands,Luxembourg,France
Israel,At Va'Ani,Shlomo Artzi,Final,1975,40.0,12,11,Stockholm ,Malta,Monaco,Sweden,Spain,Italy,Luxembourg,France,Finland,United Kingdom,Netherlands
Italy,Era,Wess & Dori Ghezzi,Final,1975,115.0,19,3,Stockholm ,Netherlands,Israel,United Kingdom,Ireland,Monaco,Spain,Norway,France,Luxembourg,Switzerland
Luxembourg,Toi,Géraldine,Final,1975,84.0,5,5,Stockholm ,Israel,Switzerland,Italy,Monaco,Malta,Finland,Sweden,Germany,Netherlands,United Kingdom
Malta,Singing This Song,Renato,Final,1975,32.0,10,12,Stockholm ,Monaco,Sweden,Germany,Ireland,Luxembourg,Switzerland,France,United Kingdom,Italy,Netherlands
Monaco,Une Chanson C'est Une Lettre,Sophie,Final,1975,22.0,14,13,Stockholm ,Italy,Norway,Turkey,Spain,Switzerland,Sweden,France,Finland,Netherlands,United Kingdom
Netherlands,Ding-A-Dong,Teach-In,Final,1975,152.0,1,1,Stockholm ,Malta,Norway,Yugoslavia,United Kingdom,Belgium,Ireland,Switzerland,France,Israel,Luxembourg
Norway,You Touched My Life With Summer,Ellen Nikolaysen,Final,1975,11.0,6,18,Stockholm ,Switzerland,Malta,Spain,Ireland,Israel,Italy,United Kingdom,Sweden,Finland,Netherlands
Portugal,Madrugada,Duarte Mendes,Final,1975,16.0,16,16,Stockholm ,Yugoslavia,Switzerland,Monaco,Ireland,United Kingdom,Sweden,Netherlands,Luxembourg,Italy,France
Spain,Tú Volverás,Sergio & Estíbaliz,Final,1975,53.0,17,10,Stockholm ,Finland,Portugal,Ireland,Germany,Sweden,Luxembourg,Italy,France,United Kingdom,Netherlands
Sweden,"Jennie, Jennie",Lars Berghagen and the Dolls,Final,1975,72.0,18,8,Stockholm ,Italy,Belgium,Finland,Luxembourg,United Kingdom,Israel,Yugoslavia,France,Ireland,Netherlands
Switzerland,Mikado,Simone Drexel,Final,1975,77.0,7,6,Stockholm ,Sweden,Israel,France,Malta,Spain,Netherlands,Ireland,United Kingdom,Italy,Finland
Turkey,Seninle Bir Dakika,Semiha Yankı,Final,1975,3.0,13,19,Stockholm ,France,Malta,Spain,Netherlands,Luxembourg,Israel,Switzerland,Sweden,Italy,Portugal
